Tweet Number,Tweet,Tweet Polarity,Tweet Subjectivity,Result,Num Positive Tweets,Num Negative Tweets,Num Neutral Tweets,Positive Percentage,Negative Percentage,Neutral Percentage
1,Biden won''t hold campaign rallies amid pandemic #coronavirus https://t.co/EZpQJe6Vcj,0.0,0.0,Neutral,0,0,1
2,"To counter growing cases of #Covid19, section 144 has been imposed in #Mumbai to prevent any large gathering. Pleas… https://t.co/sj98E0pyXm",0.21428571428571427,0.42857142857142855,Positive,1,0,1
3,Inside #CoronaVirus - A graphical explanation. https://t.co/WiTDDOsnwO,0.0,0.0,Neutral,1,0,2
4,Its July already?! Half the year is over and 2020 hasn’t even begun. Stuck at home for more than a 💯 days. I hate… https://t.co/w7v1OTyJbL,0.16666666666666669,0.3333333333333333,Positive,2,0,2
5,"Before we salute them as #Warriors let's not forget their biggest enemies are the #Government 's 
 ineptitude &amp; OUR… https://t.co/at4gVrdvtt",0.0,0.0,Neutral,2,0,3
6,#BreakingNews : The U.S. is “going in the wrong direction” with the #coronavirus surging badly enough that Dr. Anth… https://t.co/aQli7JPGrd,-0.25,0.7,Negative,2,1,3
7,#financial #lessons #learnt from #covid19 #coronavirus #covid_19 #emergency #fund #financialliteracy… https://t.co/6tj6rUcXBA,0.0,0.0,Neutral,2,1,4
8,@sambitswaraj Dr Sampit Patra should help #coronavirus patients.,0.0,0.0,Neutral,2,1,5
9,"🌍 rate of new cases is increasing rapidly. 
0-1 M : 94 days
1-2 M : 12 days
2-3 M : 12 days
3-4 M : 12 days
4-5 M :… https://t.co/7HyrUGwKCm",0.13636363636363635,0.45454545454545453,Positive,3,1,5
10,Safe sanitation and cleanliness are keys to preventing and managing the outbreak of many deadly infectious diseases… https://t.co/DJMHqIn2um,0.26666666666666666,0.4666666666666666,Positive,4,1,5
11,Q2FY21 Numbers are going to be most critical to understand the rate of #economicrecovery. Waiting to see where this… https://t.co/XqVI2fEpnf,0.25,0.65,Positive,5,1,5
12,Coronavirus impact: 60% hotel operators feel revenue recovery to take 2 years #coronavirus #hospitalitysector… https://t.co/1juunnRHB8,0.0,0.0,Neutral,5,1,6
13,@Prish_HQ would like to thank all the #doctors and frontline workers for their selfless service during this time of… https://t.co/jRYgo4qnYJ,0.0,0.0,Neutral,5,1,7
14,Thank You! On #NationalDoctorsDay we speak to the frontline workers to know the learnings of #COVID19… https://t.co/yrQcspog3O,0.0,0.0,Neutral,5,1,8
